K,code,quadrant,L3,L5,L7,L10,L14,L21,L28,L42,L56,L84,L112,L168,L252,SP,WI,DY,GR
0.25,21274,smooth,1.6287182456394296,1.315886227111529,1.1323442136498518,1.2028515596728662,1.2907577621770283,1.5796193095462143,1.7749873344430813,2.7987985814576213,3.507070999493377,5.536020843887965,7.412737931533601,10.646146051964964,15.590909748860186,1.0919591807194051,1.2375479481797789,1.1670550770789603,1.126698993992907
0.25,22382,smooth,1.2405481787415835,1.2988913638001118,1.4716869028712918,1.82950900354662,2.4465272034461596,3.3578997305785743,4.891721506527508,6.653023253454024,9.915047516604181,13.84032340719167,20.080601149734388,27.612839884519172,38.66817173967092,1.0916834526533692,1.2848723165676421,1.1287677140784116,1.0381396222011379
0.25,23202,smooth,1.2301264122904574,1.6532971784379458,2.452758750309189,2.664639080786619,3.9952905797962366,6.01341615070145,7.716299307220534,10.94955924657068,15.361085737546238,19.436336887147267,30.235222197768383,37.80108299135828,56.727313517282525,1.0452081454661608,1.4149078566295126,1.0794622145960868,1.0474718028821342
0.25,23204,smooth,1.452169130181717,1.2848736345810083,1.1775143582083372,1.592989766068102,1.6850989204737035,2.5098449558375617,3.459391087644876,5.132575850331807,6.332552869663824,10.36794686568175,12.601850508871108,15.840779760435955,28.925459754634335,1.0920243896466442,1.3687681420129936,1.248085729193548,1.0236267638133594
0.25,47568,smooth,1.5595324068617475,1.3004275198491362,1.3287702643337012,1.3698228846339293,1.5977520384875015,2.1708472179065468,2.67173975934597,3.8266026636950996,5.697472382646335,8.636805280245158,10.71371813691352,16.314024579712648,31.260838538932177,1.092822166743456,1.3348198309207218,1.3138552861382846,1.0808794694039368
0.25,16161P,smooth,1.7325315986778331,1.2789543804953498,1.1922607739807494,1.1832540393418063,1.2152227988739852,1.6563100322788822,1.8803881412013783,2.7180018640972823,3.753875682107212,5.296853251643186,7.684579428496943,10.45496014868197,16.67969362323185,1.1095950615716628,1.2246833227255376,1.3645819578933092,1.1114363845913249
0.25,23201,smooth,1.3025335863180891,1.7275803730065387,1.8065924544287821,2.84333832629671,4.051700854761962,5.4659426869769465,8.493574315314582,12.022752094005947,16.4303653651596,25.487627892552393,30.79680433958823,44.973042019540486,79.24607407400784,1.0650495840587433,1.386498040947066,1.054985083670865,1.0428676888537756
0.25,23307,smooth,1.328442330145971,1.355780874954968,1.6327298612346945,1.4689894048761019,2.400077694681604,3.3816696977720286,4.196906102287875,5.897568894348259,7.574586894339572,10.741880037675411,13.230043535064606,20.167058757145522,24.08968310118972,1.0663790371936164,1.425089739527495,1.1561901826910148,1.0462218248267063
0.25,23004,smooth,2.772420686151207,1.936715502952666,1.6355502619501754,1.2598512422851718,1.168762545705933,1.2291118681336994,1.3163949992087358,1.8035490292434677,1.969423876196268,2.8771907613629732,3.3548271295424827,5.6280307510349,7.50860479256379,1.0437277717160454,1.224889847660773,1.3746079076469484,1.2064333963568517
0.25,22614,smooth,2.637224822845767,1.8745411065032545,1.5290853555527704,1.2958852625479331,1.2114543086489047,1.2880316216446972,1.3044323526045907,1.8807135759815048,2.2540880348913466,3.0124466629973354,4.242789400354948,5.754339620242363,8.903378963831662,1.1422751489984737,1.2346433028342851,1.3557925483507076,1.1792572873468008
