case,code,quadrant,L,price,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
Spare parts operation,37489A,intermittent,112,0.39,3.028581565379018,0.0041033067825247405,0.918918918918919,1.0,120.78030931936324,1.2393887945670627,2,4813.234248247967,589
Spare parts operation,90003E,intermittent,3,3.75,18.112137484325654,0.008930726526671495,0.5174825174825175,0.8886840625102607,36.84808177440893,9.915110356536502,16,1027.9069090384846,589
Spare parts operation,90003E,intermittent,5,3.75,18.0610165727689,0.010861694424330196,0.6923076923076923,0.8927458900756323,35.95623285671073,9.915110356536502,16,1003.0280654141969,589
Spare parts operation,90003E,intermittent,7,3.75,17.765864403809804,0.01243060584117789,0.673202614379085,0.9350278512986422,30.80704567623172,9.915110356536502,16,859.3873431874383,589
Spare parts operation,90003E,intermittent,10,3.75,13.337546083022522,0.008689355539464157,0.5142857142857142,0.942282503895856,23.334658756832724,7.4363327674023765,12,650.9390937376273,589
Spare parts operation,90003E,intermittent,14,3.75,12.391981923303833,0.007603186097031137,0.5727272727272728,0.9841143894548683,24.284339499222845,6.816638370118845,11,677.4312026745317,589
Spare parts operation,90003E,intermittent,21,3.75,16.961037859383065,0.010016895969104513,0.6916666666666667,0.9473528298680723,34.212016945634495,9.29541595925297,15,954.3717582330922,589
Spare parts operation,90003E,intermittent,28,3.75,10.05084743945112,0.0065170166545981175,0.54,0.9899895326096079,35.77882345090779,4.957555178268251,8,998.0790871995453,589
Spare parts operation,90003E,intermittent,42,3.75,8.03354126290808,0.006396331160994449,0.6625,0.9933352649126385,35.4769020972115,3.7181663837011882,6,989.6567479485996,589
Spare parts operation,90003E,intermittent,56,3.75,6.897784103912793,0.007361815109823799,0.8840579710144928,0.9956608213008895,50.55437272335142,2.4787775891341255,4,1410.2549305708924,589
Spare parts operation,90003E,intermittent,84,3.75,9.77940219961966,0.007120444122616461,0.9516129032258065,0.9893050226828802,83.38084257834325,3.098471986417657,5,2325.9757371482356,589
Spare parts operation,90003E,intermittent,112,3.75,14.027907975844078,0.003620564808110065,0.8571428571428571,0.9810522059849157,105.16211547347743,4.957555178268251,8,2933.581881577452,589
Spare parts operation,22929,intermittent,3,65.0,60.97994622263938,0.009172097513878832,0.5390070921985816,0.9046020857863288,62.765675025203606,12.393887945670627,20,1150.5907977894901,589
Spare parts operation,22929,intermittent,5,65.0,25.218913421648526,0.007844557084238474,0.45454545454545453,0.976041230967925,18.714723167708804,8.056027164685908,13,343.0694922232086,589
Spare parts operation,22929,intermittent,7,65.0,27.46831916564565,0.00832729905865315,0.5433070866141733,0.9702293582246628,22.15995633518309,8.056027164685908,13,406.2258842662048,589
Spare parts operation,22929,intermittent,10,65.0,68.07099211015168,0.005310161718561429,0.43564356435643564,0.9117442914789446,79.7529345516848,9.915110356536502,16,1461.993240015797,589
Spare parts operation,22929,intermittent,14,65.0,40.62333093892046,0.007723871590634806,0.5614035087719298,0.923457771685185,33.11871019305841,11.774193548387096,19,607.1165994389206,589
Spare parts operation,22929,intermittent,21,65.0,29.682213006850084,0.007844557084238474,0.625,0.953029691912014,24.019179525428328,8.67572156196944,14,440.3082882692524,589
Spare parts operation,22929,intermittent,28,65.0,22.065767727343108,0.009051412020275163,0.7653061224489796,0.9728621536393195,18.4801622722879,6.196943972835314,10,338.76963234463346,589
Spare parts operation,22929,intermittent,42,65.0,26.70845465656436,0.005792903692976104,0.7058823529411765,1.0,28.654229530173517,4.957555178268251,8,525.2758422804609,589
Spare parts operation,22929,intermittent,56,65.0,28.9969942364842,0.0065170166545981175,0.7605633802816901,0.9981378240720608,35.222639360278826,3.7181663837011882,6,645.6848381782102,589
Spare parts operation,22929,intermittent,84,65.0,43.64748753516157,0.004344677769732078,0.8372093023255814,0.9801125372630243,59.193236369657804,3.098471986417657,5,1085.1025346410747,589
Spare parts operation,22929,intermittent,112,65.0,48.6659116990647,0.005551532705768767,0.8679245283018868,0.9835655230294839,66.87955148825012,3.098471986417657,5,1226.004443858355,589
Spare parts operation,85135C,lumpy,3,7.95,66.29514371243563,0.03342988172821627,0.6873449131513648,0.8896496847597526,28.52771578830073,27.886247877758912,45,4888.507833357866,589
Spare parts operation,85135C,lumpy,5,7.95,66.5982060815289,0.02606806661839247,0.717607973421927,0.9707071486801621,46.348961209523814,19.830220713073004,32,7942.355484124559,589
Spare parts operation,85135C,lumpy,7,7.95,47.962771653130126,0.030533429881728216,0.7106741573033708,0.9772529525006479,17.365380132804074,21.689303904923598,35,2975.7305996179216,589
Spare parts operation,85135C,lumpy,10,7.95,45.910513154034234,0.023775042239922762,0.8347457627118644,0.9557855004193301,26.67281649411074,16.112054329371816,26,4570.652390705973,589
Spare parts operation,85135C,lumpy,14,7.95,48.355110986696815,0.02365435674631909,0.8634361233480177,0.9729009248897938,25.928780417530724,17.97113752122241,29,4443.15440889581,589
Spare parts operation,85135C,lumpy,21,7.95,53.56175703364744,0.020154477431812697,0.8835978835978836,0.9707046637952464,34.24341951163507,17.35144312393888,28,5867.950514013406,589
Spare parts operation,85135C,lumpy,28,7.95,39.82239118865685,0.02280955829109341,0.863013698630137,0.9948712794658565,26.554765241818664,12.393887945670627,20,4550.423134502987,589
Spare parts operation,85135C,lumpy,42,7.95,31.280799881252992,0.015689114168476948,0.8783783783783784,1.0,27.168865483350853,6.816638370118845,11,4655.655318652416,589
Spare parts operation,85135C,lumpy,56,7.95,44.2880202084076,0.01448225923244026,0.9375,0.9998614695776772,51.29196465409711,3.7181663837011882,6,8789.388286835707,589
Spare parts operation,85135C,lumpy,84,7.95,62.082512167275205,0.009172097513878832,0.987012987012987,0.9986575472266513,76.46972030713722,3.098471986417657,5,13103.847132739274,589
Spare parts operation,85135C,lumpy,112,7.95,75.16106706041403,0.007844557084238474,1.0,0.9957583123482632,88.63166846101184,5.577249575551782,9,15187.917910095042,589
