factor,assumed_K,config,who,code,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
0.5,0.5,Per period 56d,Both,20894,17.273334524643694,0.013592007434944238,0.7548387096774194,0.9997297221996989,18.453080970675824,5.712050078247262,10,4499.6052567710985,639
0.5,0.5,SP Part Period Balancing,SAP only,20894,19.95686131380031,0.020678438661710038,0.8855721393034826,0.9998932391524072,12.575987378835507,8.568075117370892,15,3066.5328466730725,639
0.5,0.5,WI Sliding Economic Lot Size,SAP only,20894,20.015165263093678,0.021259293680297397,0.9481865284974094,1.0,22.87225673454655,6.283255086071987,11,5577.17851021897,639
0.5,0.5,DY Dynamic Planning Calculation,SAP only,20894,17.4128157564137,0.01475371747211896,0.927007299270073,1.0,21.344043755788118,5.140845070422535,9,5204.538561171187,639
0.5,0.5,GR Groff Reorder Procedure,SAP only,20894,24.331173821133532,0.028229553903345726,0.7147058823529412,0.9987746969798857,3.3773035220904175,13.137715179968701,23,823.5227876504047,639
2.0,2.0,Per period 7d,Both,20894,29.611405501847578,0.031017657992565055,0.6297169811320755,1.0,1.5511888245045016,16.564945226917057,29,378.24238673621403,639
2.0,2.0,Per period 14d,Both,20894,23.21831675990325,0.022653345724907063,0.6414473684210527,1.0,5.628062156416103,11.995305164319248,21,1372.3485040079418,639
2.0,2.0,Per period 28d,Both,20894,18.875435241832488,0.018471189591078067,0.6853448275862069,0.9972067061427852,9.832315572979757,8.568075117370892,15,2397.5150224895892,639
2.0,2.0,Per period 56d,Both,20894,17.273334524643694,0.013592007434944238,0.7548387096774194,0.9997297221996989,18.453080970675824,5.712050078247262,10,4499.6052567710985,639
2.0,2.0,SP Part Period Balancing,SAP only,20894,18.015242344186376,0.01266263940520446,0.956140350877193,0.9997439353582536,25.409539089949387,4.569640062597809,8,6195.870263776318,639
